Team,Conference
"Idaho State","Big Sky"
"Illinois State","Missouri Valley"
"Incarnate Word",Southland
"Indiana State","Missouri Valley"
"Jackson State",SWAC
"Jacksonville State","Ohio Valley"
"James Madison",CAA
"Kennesaw State","Big South"
Lafayette,Patriot
Lamar,Southland
Lehigh,Patriot
LIU,Northeast
Maine,CAA
Marist,Pioneer
"McNeese State",Southland
Mercer,Southern
"Mississippi Valley State",SWAC
"Missouri State","Missouri Valley"
Monmouth,"Big South"
Montana,"Big Sky"
"Montana State","Big Sky"
"Morehead State",Pioneer
"Morgan State",MEAC
"Murray State","Ohio Valley"
"New Hampshire",CAA
"Nicholls State",Southland
"Norfolk State",MEAC
"North Carolina A&T",MEAC
"North Carolina Central",MEAC
"North Dakota","Missouri Valley"
"North Dakota State","Missouri Valley"
"Northern Arizona","Big Sky"
"Northern Colorado","Big Sky"
"Northern Iowa","Missouri Valley"
"Northwestern State",Southland
Penn,Ivy
"Portland State","Big Sky"
"Prairie View A&M",SWAC
Presbyterian,Independent
Princeton,Ivy
"Rhode Island",CAA
Richmond,CAA
"Robert Morris","Big South"
"Sacramento State","Big Sky"
"Sacred Heart",Northeast
"Saint Francis",Northeast
"Sam Houston State",Southland
Samford,Southern
"San Diego",Pioneer
"South Carolina State",MEAC
"South Dakota","Missouri Valley"
"South Dakota State","Missouri Valley"
"Southeast Missouri State","Ohio Valley"
"Southeastern Louisiana",Southland
Southern,SWAC
"Southern Illinois","Missouri Valley"
"Southern Utah","Big Sky"
"Stephen F. Austin",Southland
Stetson,Pioneer
"Stony Brook",CAA
"Tennessee State","Ohio Valley"
"Tennessee Tech","Ohio Valley"
"Texas Southern",SWAC
Towson,CAA
"UC Davis","Big Sky"
"UT Martin","Ohio Valley"
Valparaiso,Pioneer
Villanova,CAA
VMI,Southern
Wagner,Northeast
"Weber State","Big Sky"
"Western Carolina",Southern
"Western Illinois","Missouri Valley"
"William & Mary",CAA
Wofford,Southern
Yale,Ivy
"Youngstown State","Missouri Valley"
Connecticut,American
Jacksonville,ASUN
"St Francis (PA)",Northeast
"Grand Valley State",GLIAC
"Southern University",SWAC
"Long Island",Northeast
